sentence_column_name|tag_column_name
Finska flygbolaget Finnair inleder de tillfälliga uppsägningarna av kabinpersonal i februari 2010.|0
Motsvarande ökning av aktiekapitalet, totalt 300,00 euro, registrerades i det finska handelsregistret den 8 maj 2008.|1
Under det tredje kvartalet av räkenskapsåret 2008 svängde Efore till en nettoförlust på 400 000 EUR jämfört med en nettovinst på 200 000 EUR för motsvarande period 2007 .|0
ALEXANDRIA , Virginia , 15 oktober -- Aaron Moss från Hampshire , Storbritannien , har utvecklat en dekorativ design för en telefon , meddelade US Patent &amp; Trademark Office .|1
Vaisala Oyj Börsmeddelande 26.03.2010 klo 09.00 1 ( 1 ) Årsstämman i Vaisala Oyj beslutade den 25 mars 2010 att godkänna bolagets årsredovisning för 2009 .|1
Produktens framkantsvikning maximerar vädertålighet och möjliggör en sömlös takfinish.|1
Raute är noterat på den nordiska börsen i Helsingfors .|1
KESKO FOOD AB PRESSMEDDELANDE 04.01.2006 KL 13.00 Kesko Livs Ab inleder en stor TV-kampanj för att rekrytera så många som hundra nya K-mathandlare.|2
W+Ærtsil+Æs mål är att betjäna det snabbt växande antalet fartyg och ökande marina aktivitet i Barentshavsregionen.|1
En liten url-länk tar användare till en bedrägeriwebbplats som lovar att användare kan tjäna tusentals dollar genom att bli en Google (NASDAQ:GOOG) Cash-annonsör.|0
Vinst per aktie EPS steg till 0,11 EUR från 0,03 EUR.|2
Det svenska utköpsföretaget har sålt sin återstående andel på 22,4 procent, nästan arton månader efter att ha noterat företaget i Finland.|1
ALEXANDRIA, Va., 15 mars – Jaakko Vilo från Åbo, Finland, har utvecklat en panelpress.|1
Sedan registreringen av de aktier som tecknats i en riktad nyemission uppgår det nya antalet Panostaja-aktier och rösträtter till 41 733 110 stycken.|1
En mask som aktiveras fredag kommer att korrumpera dokument med de vanligaste filtyperna, inklusive &#39;&#39;.|1
Finska Metso Paper har tilldelats ett kontrakt för återuppbyggnaden av Sabah Forest Industries (SFI) massabruk i Sabah, Malaysia.|2
Stora kommer att publicera sina resultat för fjärde kvartalet och 2009 för helåret den 4 februari.|1
Kropp Krediten förfaller den 24 februari 2014 .|1
Ändringen kommer inte att medföra ytterligare kostnader.|1
Försäljningen i Finland minskade med 2,0 % och den internationella försäljningen minskade med 9,3 % i euro och med 15,1 % i lokala valutor.|0
Såvitt känt har han inte sålt aktier som han äger personligen.|1
ALEXANDRIA, Va., 9 januari – USA-patent nr. 7 862 685 , utfärdat den 4 januari , tilldelades Kemira Chemicals Inc . ( Marietta , Ga . ) .|1
Karppinen förväntar sig att konsolideringstrenden kommer att fortsätta på den finska marknaden.|1
Vi är glada att kunna bjuda in dig till M-reals internationella telefonkonferens klockan 15:00 EET.|1
Rörelseresultatet uppgick till 9,6 miljoner euro, en minskning från 42,0 miljoner euro året innan.|0
OUTOTEC OYJ PRESSMEDDELANDE , 19 FEBRUARI 2008 KL 11.00 Outotec har vunnit två stora beställningar av mineralbearbetningsteknologi från Mirabela Mineracao do Brasil Ltda , Brasilien och från Cumerio Med JSCo , Bulgarien .|2
Företaget förväntar sig en nettoomsättning på 65 miljoner euro (85,1 miljoner USD) för 2006.|1
Omsättningstillväxten har fortsatt positivt i Mellanöstern och Afrika och i Asien och Stillahavsområdet.|2
Under första kvartalet 2009 uppgick bolagets resultat före skatt från kvarvarande verksamheter, exklusive poster av engångskaraktär, till -0,4 miljoner euro, jämfört med -0,1 miljoner euro under motsvarande period 2008.|0
Provisionsintäkterna minskade till 3,8 miljoner euro , jämfört med 4,6 miljoner euro tredje kvartalet 2007 .|0
Förra veckan meddelade dock Nokia att de kommer att fortsätta ett långsiktigt samarbete med Microsoft och göra operativsystemet Windows Phone 7 till grunden för Nokias mobiltelefoner.|1
Dessa nya enheter kommer att byggas vid Cargotecs toppmoderna tillverkningsanläggning i San Antonio, Texas, USA, som startade sin verksamhet 2009.|1
Elisa VD Sami Seppanen sa att EMT:s slogan &quot;Bästa täckning över hela Estland&quot; tydligt ger vilseledande information till konsumenterna.|0
Kedjan ska förena 45-50 centra i slutet av 2008.|1
För närvarande är varumärket Pit-Produkt föga känt utanför nordvästra Ryssland.|0
De två företagen kommer också att samarbeta för att vidareutveckla Raisos kolesterolsänkande varumärke, Benecol.|2
Försäljningen kommer att göra det möjligt för Campofrio att fokusera på sitt nyligen tillkännagivna övertagande av Groupe Smithfield Holdings, den europeiska enheten för Smithfield Foods Inc. (SFD) i USA|1
- Bland andra finska aktier som handlas i USA stängde Stora Enso 0,33 pct lägre på 12,11 euro, UPM-Kymmene steg 0,28 pct vid 18,10 euro och Metso gick ner 0,13 pct vid 31,06 euro.|1
Rörelseresultatet för de asiatiska fabrikerna ökade markant.|2
BG AD, Bulgariens ledande internetföretag.|2
Patrizia lägger till förvärvet till en portfölj som redan är värd 3 miljarder euro.|1
Mobiltelefonförsäljningen ökade med 25 % till 5,87 miljarder euro, medan försäljningen av företagslösningar sjönk med 39 % till 186 miljoner euro.|2
Marknadsförare i Sydostasien spenderar 244 miljoner USD för att skaffa användare när efterfrågan på fintech-appar ökar 2020|1
Kontrakten omfattar nyckelfärdiga beställningar av RoRo-system för två RoRo-kryssningsfartyg under konstruktion för Viking Line och Tallink.|1
Lee sa att han hoppas att Nestes drag kommer att &quot;bana väg för fler samarbetsprojekt mellan våra två länder&quot;.|2
Helsingforsbaserade Componenta köpte det turkiska börsnoterade företaget Doktas i oktober 2006 för 89 miljoner euro, vilket gör det till den största finska investeringen i Turkiet hittills.|1
Den bekräftade också sin vinstguidning för hela 2009 i sin rapport för hela 2008 .|1
Bolagets vinst före skatt sjönk till 21,1 miljoner euro under tredje kvartalet 2008, jämfört med 35,8 miljoner euro under motsvarande period 2007.|0
En undersökning gjord av Taloustutkimus för Sampo Liv visar att företagen är dåligt förberedda på att förlora nyckelpersoner.|0
Repeats ser 2008 års rörelsevinst nedåt yy ( Rapportering av Helsinki Newsroom ) Nyckelord : TECNOMEN-RESULTS|0
Dessutom tecknade Kone ett tvåårigt underhållskontrakt för rulltrapporna.|2
Idén att spara el vid dataöverföring är fortfarande ny.|1
Myanmars juntachef kommer att delta i Asean-toppmötet|1
Privata utgifter stagnerade i maj när priserna steg.|0
Den potentiella köparen är Cencorp Corporation som är en närstående enhet till SAV på grund av att var och en av SAV och Cencorp är ett dotterbolag till finska Savcor Group Oy.|1
Los Angeles-baserade Pacific Office Properties Trust förvärvar, äger och driver kontorsfastigheter i västra USA, med fokus till en början på marknaderna Honolulu, San Diego, Los Angeles och Phoenix.|1
